,0,1,2
321,22.24,102.45,2.0
322,24.64,124.74,2.0
323,37.26,136.92,2.0
324,130.78,113.51,2.0
325,16.66,126.5,1.0
326,44.3,115.03,1.0
327,83.95,117.11,2.0
328,144.44,123.14,2.0
329,233.71,132.15,2.0
330,7.82,149.11,1.0
331,53.45,99.0,1.0
332,97.39,102.12,1.0
333,128.86,117.2,2.0
334,220.58,123.44,2.0
335,7.44,141.48,1.0
336,49.39,94.85,1.0
337,72.49,105.15,2.0
338,153.54,103.16,2.0
339,249.31,110.58,2.0
340,14.41,107.17,1.0
341,67.97,80.52,1.0
342,86.96,93.45,2.0
343,113.79,107.65,2.0
344,244.26,105.14,2.0
345,14.4,102.09,1.0
346,59.66,80.09,1.0
347,78.27,92.17,2.0
348,125.0,99.35,2.0
349,232.33,101.81,2.0
350,60.38,115.57,1.0
351,61.03,145.09,2.0
352,94.92,157.78,2.0
353,204.03,154.03,2.0
354,421.89,152.33,2.0
355,65.32,103.15,1.0
356,62.16,132.13,2.0
357,132.89,129.23,2.0
358,194.76,143.34,2.0
359,438.89,137.75,2.0
360,76.2,91.44,1.0
361,79.14,113.76,2.0
362,122.65,123.85,2.0
363,190.6,134.72,2.0
364,426.01,129.82,2.0
365,58.07,94.53,1.0
366,48.65,126.34,2.0
367,110.36,121.15,2.0
368,207.83,123.6,2.0
369,400.53,125.14,2.0
370,72.86,83.47,1.0
371,73.4,104.9,2.0
372,117.69,112.92,2.0
373,172.26,125.31,2.0
374,417.21,117.56,2.0
375,27.44,93.42,1.0
376,65.08,88.25,1.0
377,198.39,76.69,1.0
378,47.72,155.36,2.0
379,119.3,144.23,2.0
380,33.88,79.78,1.0
381,72.48,78.01,1.0
382,14.37,168.56,2.0
383,69.29,125.71,2.0
384,122.05,131.15,2.0
385,42.47,69.05,1.0
386,46.27,84.54,1.0
387,38.31,113.44,2.0
388,67.03,118.61,2.0
389,117.17,124.05,2.0
390,43.94,64.47,1.0
391,105.99,60.57,1.0
392,35.91,109.46,2.0
393,74.6,108.08,2.0
394,139.85,110.44,2.0
395,60.22,55.27,1.0
396,66.44,67.39,1.0
397,37.81,102.46,2.0
398,64.1,108.27,2.0
399,136.15,106.12,2.0
400,114.11,87.38,1.0
401,11.56,236.12,2.0
402,34.3,207.05,2.0
