,0,1,2,3,4,5,6,7
203,100.0,2.5,6.0,1.0,2.5,3.0,10.0,0.528768
204,100.0,2.5,6.0,1.0,2.5,3.0,10.0,1.057536
205,100.0,2.5,6.0,1.0,2.5,3.0,13.0,0.066096
206,100.0,2.5,6.0,1.0,2.5,3.0,13.0,0.132192
207,100.0,2.5,6.0,1.0,2.5,3.0,13.0,0.264384
208,100.0,2.5,6.0,1.0,2.5,3.0,13.0,0.528768
209,100.0,2.5,6.0,1.0,2.5,3.0,13.0,1.057536
210,100.0,2.5,6.0,1.0,2.5,3.0,16.0,0.066096
211,100.0,2.5,6.0,1.0,2.5,3.0,16.0,0.132192
212,100.0,2.5,6.0,1.0,2.5,3.0,16.0,0.264384
213,100.0,2.5,6.0,1.0,2.5,3.0,16.0,0.528768
214,100.0,2.5,6.0,1.0,2.5,3.0,16.0,1.057536
215,100.0,2.5,6.0,1.0,2.5,3.0,19.0,0.066096
216,100.0,2.5,6.0,1.0,2.5,3.0,19.0,0.132192
217,100.0,2.5,6.0,1.0,2.5,3.0,19.0,0.264384
218,100.0,2.5,6.0,1.0,2.5,3.0,19.0,0.528768
219,100.0,2.5,6.0,1.0,2.5,3.0,19.0,1.057536
220,100.0,2.5,6.0,1.0,2.5,3.0,22.0,0.066096
221,100.0,2.5,6.0,1.0,2.5,3.0,22.0,0.132192
222,100.0,2.5,6.0,1.0,2.5,3.0,22.0,0.264384
223,100.0,2.5,6.0,1.0,2.5,3.0,22.0,0.528768
224,100.0,2.5,6.0,1.0,2.5,3.0,22.0,1.057536
225,100.0,3.0,2.0,1.5,3.0,3.5,10.0,0.066096
226,100.0,3.0,2.0,1.5,3.0,3.5,10.0,0.132192
227,100.0,3.0,2.0,1.5,3.0,3.5,10.0,0.264384
228,100.0,3.0,2.0,1.5,3.0,3.5,10.0,0.528768
229,100.0,3.0,2.0,1.5,3.0,3.5,10.0,1.057536
230,100.0,3.0,2.0,1.5,3.0,3.5,13.0,0.066096
231,100.0,3.0,2.0,1.5,3.0,3.5,13.0,0.132192
232,100.0,3.0,2.0,1.5,3.0,3.5,13.0,0.264384
233,100.0,3.0,2.0,1.5,3.0,3.5,13.0,0.528768
234,100.0,3.0,2.0,1.5,3.0,3.5,13.0,1.057536
235,100.0,3.0,2.0,1.5,3.0,3.5,16.0,0.066096
236,100.0,3.0,2.0,1.5,3.0,3.5,16.0,0.132192
237,100.0,3.0,2.0,1.5,3.0,3.5,16.0,0.264384
238,100.0,3.0,2.0,1.5,3.0,3.5,16.0,0.528768
239,100.0,3.0,2.0,1.5,3.0,3.5,16.0,1.057536
240,100.0,3.0,2.0,1.5,3.0,3.5,19.0,0.066096
241,100.0,3.0,2.0,1.5,3.0,3.5,19.0,0.132192
242,100.0,3.0,2.0,1.5,3.0,3.5,19.0,0.264384
243,100.0,3.0,2.0,1.5,3.0,3.5,19.0,0.528768
244,100.0,3.0,2.0,1.5,3.0,3.5,19.0,1.057536
245,100.0,3.0,2.0,1.5,3.0,3.5,22.0,0.066096
246,100.0,3.0,2.0,1.5,3.0,3.5,22.0,0.132192
247,100.0,3.0,2.0,1.5,3.0,3.5,22.0,0.264384
248,100.0,3.0,2.0,1.5,3.0,3.5,22.0,0.528768
249,100.0,3.0,2.0,1.5,3.0,3.5,22.0,1.057536
250,125.0,1.0,4.0,3.0,2.5,3.5,10.0,0.066096
251,125.0,1.0,4.0,3.0,2.5,3.5,10.0,0.132192
252,125.0,1.0,4.0,3.0,2.5,3.5,10.0,0.264384
253,125.0,1.0,4.0,3.0,2.5,3.5,10.0,0.528768
254,125.0,1.0,4.0,3.0,2.5,3.5,10.0,1.057536
255,125.0,1.0,4.0,3.0,2.5,3.5,13.0,0.066096
256,125.0,1.0,4.0,3.0,2.5,3.5,13.0,0.132192
257,125.0,1.0,4.0,3.0,2.5,3.5,13.0,0.264384
258,125.0,1.0,4.0,3.0,2.5,3.5,13.0,0.528768
259,125.0,1.0,4.0,3.0,2.5,3.5,13.0,1.057536
260,125.0,1.0,4.0,3.0,2.5,3.5,16.0,0.066096
261,125.0,1.0,4.0,3.0,2.5,3.5,16.0,0.132192
262,125.0,1.0,4.0,3.0,2.5,3.5,16.0,0.264384
263,125.0,1.0,4.0,3.0,2.5,3.5,16.0,0.528768
264,125.0,1.0,4.0,3.0,2.5,3.5,16.0,1.057536
265,125.0,1.0,4.0,3.0,2.5,3.5,19.0,0.066096
266,125.0,1.0,4.0,3.0,2.5,3.5,19.0,0.132192
267,125.0,1.0,4.0,3.0,2.5,3.5,19.0,0.264384
